state,year,death
ME,2001,800
ME,2002,791
ME,2003,782
ME,2004,766
ME,2005,830
ME,2006,783
ME,2007,728
ME,2008,794
ME,2009,821
ME,2010,809
ME,2011,842
ME,2012,817
ME,2013,902
MI,1999,4316
MI,2000,4352
MI,2001,4148
MI,2002,4431
MI,2003,4472
MI,2004,4252
MI,2005,4466
MI,2006,4474
MI,2007,4624
MI,2008,5185
MI,2009,4961
MI,2010,5079
MI,2011,5192
MI,2012,5251
MI,2013,5539
MN,1999,1994
MN,2000,1902
MN,2001,1909
MN,2002,1971
MN,2003,1832
MN,2004,1839
MN,2005,1965
MN,2006,1770
MN,2007,1758
MN,2008,2096
MN,2009,1961
MN,2010,2016
MN,2011,2170
MN,2012,2124
MN,2013,2287
MO,1999,3068
MO,2000,2802
MO,2001,2882
MO,2002,2867
MO,2003,2939
MO,2004,2731
MO,2005,3085
MO,2006,3017
MO,2007,3081
MO,2008,3765
MO,2009,3456
MO,2010,3557
MO,2011,3492
MO,2012,3650
MO,2013,3798
MS,1999,1267
MS,2000,1257
MS,2001,1333
MS,2002,1378
MS,2003,1394
MS,2004,1350
MS,2005,1473
MS,2006,1378
MS,2007,1408
MS,2008,1520
MS,2009,1556
MS,2010,1661
MS,2011,1694
MS,2012,1729
MS,2013,1755
MT,1999,566
MT,2000,517
MT,2001,583
MT,2002,576
MT,2003,588
MT,2004,578
MT,2005,580
MT,2006,579
MT,2007,604
MT,2008,691
MT,2009,598
MT,2010,602
MT,2011,637
MT,2012,605
MT,2013,647
NC,1999,3591
NC,2000,3699
NC,2001,3514
NC,2002,3674
NC,2003,3887
NC,2004,3625
NC,2005,4149
NC,2006,4017
NC,2007,4231
NC,2008,4572
NC,2009,4329
NC,2010,4495
NC,2011,4708
NC,2012,4844
NC,2013,4987
ND,1999,273
ND,2000,295
ND,2001,308
ND,2002,322
ND,2003,302
ND,2004,273
ND,2005,272
ND,2006,283
ND,2007,265
ND,2008,355
ND,2009,341
ND,2010,356
ND,2011,342
ND,2012,306
