Wisconsin, Average Temperature, January-March
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
199903,23.5
200003,26.3
200103,20.7
200203,25.2
200303,18.8
200403,21.7
200503,22.1
200603,25.9
200703,22.2
200803,17.8
200903,18.9
201003,24.2
201103,19.6
201203,31.0
201303,19.2
