Kentucky, Average Temperature, January-March
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
199903,40.2
200003,42.3
200103,38.2
200203,40.8
200303,36.9
200403,39.6
200503,40.8
200603,41.8
200703,40.4
200803,38.7
200903,39.1
201003,35.6
201103,39.1
201203,46.0
201303,37.6
