Maryland, Average Temperature, January-March
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
199903,38.2
200003,39.9
200103,36.9
200203,41.4
200303,34.7
200403,36.1
200503,36.7
200603,40.5
200703,37.2
200803,39.2
200903,36.5
201003,36.8
201103,37.0
201203,43.6
201303,36.8
