state,year,temperature
MA,2006,32.2
MA,2007,28.8
MA,2008,30.5
MA,2009,27.9
MA,2010,32.2
MA,2011,27.8
MA,2012,36.1
MA,2013,30.3
MD,1999,38.2
MD,2000,39.9
MD,2001,36.9
MD,2002,41.4
MD,2003,34.7
MD,2004,36.1
MD,2005,36.7
MD,2006,40.5
MD,2007,37.2
MD,2008,39.2
MD,2009,36.5
MD,2010,36.8
MD,2011,37.0
MD,2012,43.6
MD,2013,36.8
ME,1999,22.2
ME,2000,21.6
ME,2001,18.1
ME,2002,22.8
ME,2003,15.2
ME,2004,17.7
ME,2005,18.7
ME,2006,23.5
ME,2007,18.2
ME,2008,20.1
ME,2009,17.7
ME,2010,26.5
ME,2011,19.6
ME,2012,24.6
ME,2013,22.1
MI,1999,25.2
MI,2000,28.2
MI,2001,25.0
MI,2002,27.4
MI,2003,20.8
MI,2004,23.8
MI,2005,23.5
MI,2006,28.3
MI,2007,24.7
MI,2008,22.7
MI,2009,22.4
MI,2010,27.3
MI,2011,22.3
MI,2012,32.7
MI,2013,23.9
MN,1999,20.4
MN,2000,23.2
MN,2001,15.6
MN,2002,20.5
MN,2003,15.3
MN,2004,17.6
MN,2005,18.0
MN,2006,22.1
MN,2007,18.0
MN,2008,13.8
MN,2009,14.4
MN,2010,19.2
MN,2011,13.9
MN,2012,27.5
MN,2013,15.0
MO,1999,38.4
MO,2000,41.1
MO,2001,34.6
MO,2002,37.6
MO,2003,34.4
MO,2004,37.1
MO,2005,38.9
MO,2006,40.5
MO,2007,38.0
MO,2008,35.0
MO,2009,37.5
MO,2010,33.0
MO,2011,35.0
MO,2012,44.8
MO,2013,35.5
MS,1999,52.3
MS,2000,53.4
MS,2001,48.4
MS,2002,49.5
MS,2003,47.9
MS,2004,50.1
MS,2005,51.9
MS,2006,51.5
MS,2007,51.2
MS,2008,50.0
MS,2009,51.1
MS,2010,44.5
MS,2011,49.9
MS,2012,56.1
MS,2013,49.5
MT,1999,29.2
MT,2000,28.2
MT,2001,25.0
MT,2002,23.0
MT,2003,25.3
MT,2004,26.2
MT,2005,27.2
MT,2006,28.5
MT,2007,27.6
MT,2008,24.5
MT,2009,24.8
MT,2010,26.0
MT,2011,21.4
MT,2012,29.8
MT,2013,26.6
NC,1999,45.5
NC,2000,45.9
NC,2001,44.3
NC,2002,46.0
NC,2003,43.5
NC,2004,43.4
NC,2005,44.7
NC,2006,46.2
NC,2007,45.7
NC,2008,45.8
NC,2009,43.6
NC,2010,41.0
NC,2011,44.2
NC,2012,49.5
NC,2013,43.3
ND,1999,20.3
ND,2000,23.2
ND,2001,16.5
ND,2002,19.1
ND,2003,14.1
ND,2004,16.6
ND,2005,18.5
ND,2006,22.8
ND,2007,18.0
ND,2008,15.5
ND,2009,12.1
ND,2010,16.9
ND,2011,11.9
ND,2012,27.2
ND,2013,15.3
NE,1999,34.2
NE,2000,35.2
NE,2001,28.4
NE,2002,30.5
NE,2003,30.2
NE,2004,31.1
NE,2005,32.3
NE,2006,34.0
NE,2007,30.1
NE,2008,28.3
NE,2009,31.6
NE,2010,28.3
NE,2011,27.3
NE,2012,36.8
NE,2013,29.7
NH,1999,24.9
NH,2000,25.1
NH,2001,22.1
NH,2002,27.5
NH,2003,18.7
NH,2004,21.1
NH,2005,21.7
NH,2006,26.3
NH,2007,21.5
NH,2008,23.9
NH,2009,21.4
NH,2010,27.8
NH,2011,21.6
NH,2012,29.5
NH,2013,24.7
NJ,1999,36.2
NJ,2000,37.0
NJ,2001,34.3
NJ,2002,39.4
NJ,2003,32.0
NJ,2004,33.5
NJ,2005,33.8
NJ,2006,38.2
NJ,2007,34.9
NJ,2008,37.1
NJ,2009,34.3
NJ,2010,36.2
NJ,2011,34.3
NJ,2012,41.4
NJ,2013,35.1
NM,1999,42.9
NM,2000,42.8
NM,2001,38.5
NM,2002,38.9
NM,2003,41.3
NM,2004,40.4
NM,2005,41.0
NM,2006,41.2
NM,2007,39.2
NM,2008,39.0
NM,2009,42.3
NM,2010,37.3
NM,2011,39.3
NM,2012,41.5
NM,2013,38.2
NV,1999,37.1
NV,2000,38.1
NV,2001,35.2
NV,2002,34.7
NV,2003,39.2
NV,2004,36.9
NV,2005,36.4
NV,2006,35.0
NV,2007,36.7
NV,2008,34.1
NV,2009,36.6
NV,2010,36.2
NV,2011,35.5
NV,2012,37.3
NV,2013,34.7
NY,1999,26.0
NY,2000,27.7
NY,2001,25.0
NY,2002,30.5
NY,2003,21.5
NY,2004,23.1
NY,2005,23.4
NY,2006,28.8
NY,2007,23.9
NY,2008,26.2
NY,2009,24.3
NY,2010,28.0
NY,2011,23.8
NY,2012,33.1
NY,2013,26.1
OH,1999,32.8
OH,2000,35.6
OH,2001,32.6
OH,2002,36.1
OH,2003,29.3
OH,2004,32.1
OH,2005,32.5
OH,2006,36.4
OH,2007,32.1
OH,2008,31.4
OH,2009,31.5
OH,2010,31.0
OH,2011,31.2
OH,2012,39.8
OH,2013,31.6
OK,1999,45.9
OK,2000,47.0
OK,2001,41.2
OK,2002,42.7
OK,2003,41.7
OK,2004,44.4
OK,2005,45.1
OK,2006,47.0
OK,2007,44.2
OK,2008,43.5
OK,2009,45.6
OK,2010,40.0
OK,2011,42.3
OK,2012,48.7
OK,2013,42.8
OR,1999,35.1
OR,2000,36.1
OR,2001,35.5
OR,2002,34.7
OR,2003,38.5
OR,2004,37.0
OR,2005,37.6
OR,2006,35.1
OR,2007,36.7
OR,2008,33.6
OR,2009,35.2
OR,2010,38.0
OR,2011,34.8
OR,2012,35.8
OR,2013,35.2
PA,1999,31.0
PA,2000,33.3
PA,2001,30.3
PA,2002,35.0
PA,2003,27.2
PA,2004,28.8
PA,2005,29.6
PA,2006,34.0
PA,2007,29.6
PA,2008,30.8
PA,2009,29.4
PA,2010,31.2
PA,2011,29.1
PA,2012,37.3
PA,2013,30.1
RI,1999,33.9
RI,2000,34.0
RI,2001,31.4
RI,2002,36.3
RI,2003,28.5
RI,2004,29.7
RI,2005,30.0
RI,2006,34.6
RI,2007,31.6
RI,2008,33.8
RI,2009,30.9
RI,2010,34.4
RI,2011,30.7
RI,2012,38.2
RI,2013,32.6
SC,1999,50.0
SC,2000,50.3
SC,2001,49.0
SC,2002,50.3
SC,2003,48.4
SC,2004,48.1
SC,2005,49.4
SC,2006,50.5
SC,2007,50.7
SC,2008,49.8
SC,2009,48.4
SC,2010,44.7
SC,2011,48.9
SC,2012,54.1
SC,2013,48.4
SD,1999,29.1
SD,2000,30.2
SD,2001,21.6
SD,2002,25.3
SD,2003,23.6
SD,2004,25.8
SD,2005,27.0
SD,2006,29.3
SD,2007,25.2
SD,2008,22.6
SD,2009,23.4
SD,2010,21.9
SD,2011,18.9
SD,2012,32.7
SD,2013,23.8
TN,1999,43.8
TN,2000,45.2
TN,2001,41.2
TN,2002,43.0
TN,2003,40.7
TN,2004,43.0
TN,2005,44.7
TN,2006,44.4
TN,2007,44.2
TN,2008,42.5
TN,2009,42.6
TN,2010,37.9
TN,2011,42.5
TN,2012,48.9
TN,2013,41.5
TX,1999,54.8
TX,2000,56.4
TX,2001,49.7
TX,2002,50.4
TX,2003,50.6
TX,2004,52.7
TX,2005,53.0
TX,2006,54.8
TX,2007,51.3
TX,2008,52.6
TX,2009,54.3
TX,2010,47.7
TX,2011,51.8
TX,2012,55.2
TX,2013,52.3
UT,1999,36.0
UT,2000,35.6
UT,2001,33.1
UT,2002,30.4
UT,2003,35.5
UT,2004,32.5
UT,2005,35.0
UT,2006,32.6
UT,2007,33.3
UT,2008,30.2
UT,2009,34.0
UT,2010,31.6
UT,2011,31.1
UT,2012,35.1
UT,2013,29.5
VA,1999,40.4
VA,2000,41.7
VA,2001,39.2
VA,2002,42.0
VA,2003,38.0
VA,2004,38.7
VA,2005,39.7
VA,2006,42.0
VA,2007,40.3
VA,2008,41.0
VA,2009,38.9
VA,2010,37.3
VA,2011,39.7
VA,2012,45.3
VA,2013,38.5
VT,1999,22.7
VT,2000,23.3
VT,2001,20.9
VT,2002,26.3
VT,2003,17.2
VT,2004,18.8
VT,2005,20.0
VT,2006,25.4
VT,2007,19.4
VT,2008,22.6
VT,2009,20.4
VT,2010,26.5
VT,2011,20.3
VT,2012,28.6
VT,2013,23.2
WA,1999,36.0
WA,2000,34.9
WA,2001,34.7
WA,2002,34.3
WA,2003,37.5
WA,2004,35.9
WA,2005,36.7
WA,2006,35.8
WA,2007,35.2
WA,2008,33.3
WA,2009,32.8
WA,2010,38.6
WA,2011,33.9
WA,2012,34.3
WA,2013,34.9
WI,1999,23.5
WI,2000,26.3
WI,2001,20.7
WI,2002,25.2
WI,2003,18.8
WI,2004,21.7
WI,2005,22.1
WI,2006,25.9
WI,2007,22.2
WI,2008,17.8
WI,2009,18.9
WI,2010,24.2
WI,2011,19.6
WI,2012,31.0
WI,2013,19.2
WV,1999,35.9
WV,2000,38.2
WV,2001,34.9
WV,2002,38.2
WV,2003,33.7
WV,2004,35.1
WV,2005,36.0
WV,2006,37.9
WV,2007,35.4
WV,2008,35.8
WV,2009,35.1
WV,2010,32.8
WV,2011,35.5
WV,2012,41.7
WV,2013,34.2
WY,1999,29.0
WY,2000,28.9
WY,2001,24.4
WY,2002,22.6
WY,2003,26.7
WY,2004,26.9
WY,2005,27.9
WY,2006,26.2
WY,2007,26.3
WY,2008,22.7
WY,2009,27.0
WY,2010,26.0
WY,2011,23.4
WY,2012,29.1
WY,2013,24.6
