Pennsylvania, Average Temperature, January-March
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
199903,31.0
200003,33.3
200103,30.3
200203,35.0
200303,27.2
200403,28.8
200503,29.6
200603,34.0
200703,29.6
200803,30.8
200903,29.4
201003,31.2
201103,29.1
201203,37.3
201303,30.1
