state,year,PM25
GA,2009,143.0
GA,2010,169.94545454545454
GA,2011,142.78846153846155
GA,2012,153.09756097560975
GA,2013,198.05882352941177
HI,1999,193.63636363636363
HI,2000,238.88888888888889
HI,2001,262.44444444444446
HI,2002,203.44444444444446
HI,2003,260.1111111111111
HI,2004,198.92307692307693
HI,2005,184.27272727272728
HI,2006,88.66666666666667
HI,2007,93.4
HI,2008,182.52380952380952
HI,2009,315.1333333333333
HI,2010,292.75757575757575
HI,2011,322.6764705882353
HI,2012,314.1111111111111
HI,2013,336.38461538461536
IA,1999,91.26666666666667
IA,2000,148.27777777777777
IA,2001,157.0
IA,2002,151.61111111111111
IA,2003,157.1764705882353
IA,2004,141.8421052631579
IA,2005,157.11764705882354
IA,2006,133.78947368421052
IA,2007,171.9047619047619
IA,2008,217.1818181818182
IA,2009,200.8181818181818
IA,2010,197.7826086956522
IA,2011,189.28
IA,2012,202.8181818181818
IA,2013,175.62962962962962
ID,1999,66.92307692307692
ID,2000,76.63157894736842
ID,2001,111.95238095238095
ID,2002,70.34482758620689
ID,2003,49.6
ID,2004,45.03846153846154
ID,2005,69.25
ID,2006,59.875
ID,2007,85.78571428571429
ID,2008,94.0
ID,2009,120.2
ID,2010,177.28571428571428
ID,2011,250.4
ID,2012,269.8333333333333
ID,2013,304.6666666666667
IL,1999,57.88461538461539
IL,2000,123.78378378378379
IL,2001,124.21621621621621
IL,2002,129.40540540540542
IL,2003,108.24324324324324
IL,2004,104.15384615384616
IL,2005,96.125
IL,2006,98.675
IL,2007,95.14285714285714
IL,2008,103.25581395348837
IL,2009,128.1951219512195
IL,2010,119.61363636363636
IL,2011,37.333333333333336
IN,1999,105.21951219512195
IN,2000,124.22641509433963
IN,2001,135.56603773584905
IN,2002,124.78947368421052
IN,2003,116.91666666666667
IN,2004,120.3529411764706
IN,2005,118.0377358490566
IN,2006,114.50877192982456
IN,2007,158.03546099290782
IN,2008,138.39583333333334
IN,2009,122.75
IN,2010,180.265625
IN,2011,182.03225806451613
IN,2012,186.75438596491227
IN,2013,189.05084745762713
KS,1999,77.70588235294117
KS,2000,102.52941176470588
KS,2001,95.70588235294117
KS,2002,101.0625
KS,2003,99.375
KS,2004,100.625
KS,2005,99.25
KS,2006,84.47058823529412
KS,2007,104.58333333333333
KS,2008,104.91666666666667
KS,2009,98.83333333333333
KS,2010,101.08333333333333
KS,2011,108.9090909090909
KS,2012,109.66666666666667
KS,2013,89.38461538461539
KY,1999,93.65
KY,2000,108.96428571428571
KY,2001,115.31111111111112
